rank,company,segment,location,source_url,public_route,observed_workflow_signal,employee_evidence,confidence,qualification_status,notes,capture_date,contact_status
1,Västkustens VVS och Fastighet AB,VVS,Uddevalla,https://vastkustensvvs.se/,Generic website/contact route,Service and quote intake visible,10 employees (2025 public business data),HIGH,READY_FOR_OWNER_REVIEW,Strong size and field-service fit; verify active generic route immediately before outreach.,2026-08-19,NOT_CONTACTED
2,Wattnord Installation AB,Solar / electrical,Göteborg,https://wattnord.se/kontakt/,Generic form and info@ route,"Contact form routes solar, battery and charging inquiries",17 employees (2025 public business data),HIGH,READY_FOR_OWNER_REVIEW,Structured intake and multiple service types create a concrete routing hypothesis.,2026-08-19,NOT_CONTACTED
3,Västkustens Relining AB,Relining / drainage,Sävedalen,https://vastkustensrelining.se/kontakt/,Generic form and central contact,Form asks service type and job description,10 employees (2024 public business data),HIGH,READY_FOR_OWNER_REVIEW,Visible multi-service intake; avoid personal employee addresses.,2026-08-19,NOT_CONTACTED
4,Röreffekt i Göteborg AB,VVS,Göteborg,https://roreffekt.se/,Generic contact form and info@,"Form accepts name, phone, email and free-text request",9 employees (2025 public business data),HIGH,READY_FOR_OWNER_REVIEW,Direct fit for missing-information and classification demonstration.,2026-08-19,NOT_CONTACTED
5,Pålsonplåt Hellberg & Co AB,Sheet metal / roof,Västra Götaland,https://www.pvforetagen.se/medlemmar/p/varo-palsonplat-hellberg--co-ab/,Public company route via member profile,Installation/field-service firm with public company profile,17 employees (public member/business source; recheck),MEDIUM,VERIFY_BEFORE_OUTREACH,Verify current official website and generic inbox.,2026-08-19,NOT_CONTACTED
6,Gösab Sotning AB,Ventilation / property service,Göteborg region,https://gosab.se/kontakt/,Generic contact page,Public contact page states normal reply within one business day,32 employees (public business source; recheck),HIGH,READY_FOR_OWNER_REVIEW,Slightly larger but clear office intake and response expectation.,2026-08-19,NOT_CONTACTED
7,Canmera Comfort AB,Ventilation / indoor climate,Västra Götaland,https://canmera.se/kontakt/,Generic contact route,Contact page for service and project inquiries,48 employees (public business source; recheck),MEDIUM,VERIFY_BEFORE_OUTREACH,Upper size boundary; may already have mature systems.,2026-08-19,NOT_CONTACTED
8,Bohusbolagen AB,Property / field service,Bohuslän,https://www.bohusbolagen.se/kontakta-oss/,Generic contact page,Multiple field-service activities and central intake,9 employees in historical public data; current count unverified,MEDIUM,VERIFY_BEFORE_OUTREACH,Confirm service scope and current employee count.,2026-08-19,NOT_CONTACTED
9,Habo Plåt & Ventilation AB,Sheet metal / ventilation,Habo,https://www.haboplat.se/kontakta-oss/,Generic form and inbox,Contact form for project/service requests,Unverified,MEDIUM,VERIFY_BEFORE_OUTREACH,Good workflow signal; size evidence missing.,2026-08-19,NOT_CONTACTED
10,Västsvenska Staket AB,Fencing / installation,Västra Götaland,https://vastsvenskastaket.se/vara-tjanster/,Quote/contact route,Installation services and request-for-quote path,Unverified,MEDIUM,VERIFY_BEFORE_OUTREACH,Good quote-intake hypothesis; confirm legal entity and size.,2026-08-19,NOT_CONTACTED
11,Lindes Solteknik AB,Solar / electrical,Västra Götaland,https://lindessol.se/kontakta-oss,Generic contact page,Solar project inquiry route,Unverified,MEDIUM,VERIFY_BEFORE_OUTREACH,Confirm employee range and active AB details.,2026-08-19,NOT_CONTACTED
12,Solnord AB,Solar / electrical,Västra Götaland,https://www.solnord.se/vastra-gotaland,Generic central route,Free-offer route across several installation products,4 employees in 2025; 5 in 2024 public data,LOW,SIZE_EXCEPTION_REVIEW,Borderline/below threshold and financial/operating profile needs review.,2026-08-19,NOT_CONTACTED
13,Brunnsbo Rör AB,VVS,Göteborg,https://brunnsboror.se/kontakt/,Generic form and inbox,Offertförfrågan plus 24-hour emergency service,2 employees (2025 public data),LOW,DISQUALIFIED_SIZE,Observable pain hypothesis but below approved 5–49 range.,2026-08-19,NOT_CONTACTED
14,Hogstorps Rör AB,VVS / heat pump,Uddevalla,https://www.hogstorpsror.se/,Generic quote route,Free-offer request and fast-response positioning,2 employees (2024 public data),LOW,DISQUALIFIED_SIZE,Below size threshold; retain only as learning candidate.,2026-08-19,NOT_CONTACTED
15,Helservice Göteborg AB,Field service,Göteborg,https://www.helservice.se/,Generic form and inbox,Central service inquiry route,Unverified,MEDIUM,VERIFY_BEFORE_OUTREACH,"Confirm exact legal entity, employee count, and service mix.",2026-08-19,NOT_CONTACTED
16,VXPro AB,Ventilation,Uddevalla,https://www.vxpro.se/se/ventilationsfirma-uddevalla,Quote/contact route,Public page promises quote response and captures ventilation requests,Unverified,MEDIUM,VERIFY_BEFORE_OUTREACH,Clear response-time hypothesis; size evidence missing.,2026-08-19,NOT_CONTACTED
17,VVSupport AB,VVS,Västra Götaland,https://vvsupport.se/kontakt/,Generic contact page,Central service/contact intake,Unverified,MEDIUM,VERIFY_BEFORE_OUTREACH,Confirm company size and that generic channel reaches workflow owner.,2026-08-19,NOT_CONTACTED
18,TBR VVS AB,VVS,Västra Götaland,https://tbrvvs.se/,Generic website route,VVS service and quote path,Unverified,MEDIUM,VERIFY_BEFORE_OUTREACH,Good segment fit; qualification data incomplete.,2026-08-19,NOT_CONTACTED
19,Garageportexperten Uddevalla,Garage doors / installation,Uddevalla,https://www.garageportexperten.se/hitta-butik/uddevalla/,Store quote/contact route,Quote form for installation and service,Franchise/store size unverified,LOW,STRUCTURE_REVIEW,Franchise may have centralized systems; verify contracting legal person.,2026-08-19,NOT_CONTACTED
20,EDT Installation AB,Electrical / technical installation,Västra Götaland,https://edtinstallation.se/om-edt/,Public company website,Installation firm with contact route,Unverified,MEDIUM,VERIFY_BEFORE_OUTREACH,Confirm generic intake and employee range.,2026-08-19,NOT_CONTACTED
21,Byggprojekt Uddevalla AB,Construction / service,Uddevalla,https://byggprojekt.se/kontakt,Generic form,Contact form for project inquiries,Unverified,MEDIUM,VERIFY_BEFORE_OUTREACH,Potentially broader project sales; check whether inquiry volume is repetitive enough.,2026-08-19,NOT_CONTACTED
22,EK-RA Bygg AB,Construction / service,Västra Götaland,https://ekrabygg.se/kontakt,Generic form,Free quote/contact form with stated response expectation,Unverified,MEDIUM,VERIFY_BEFORE_OUTREACH,Good intake signal; confirm size and legal entity.,2026-08-19,NOT_CONTACTED
23,Västkustsol AB,Solar / electrical,West coast Sweden,https://www.vastkustsol.com/kontakt,Generic contact form/inbox,Solar quote and contact route,Unverified,MEDIUM,VERIFY_BEFORE_OUTREACH,Confirm active AB and employee range.,2026-08-19,NOT_CONTACTED
24,MK:s El AB,Electrical,Västra Götaland,https://mksel.se/,Public contact route,Service and smaller-job inquiries visible,Unverified,MEDIUM,VERIFY_BEFORE_OUTREACH,Potentially strong small-service fit; verify employee count.,2026-08-19,NOT_CONTACTED
